trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
48,additive-gaussian-noise,0.795,brighten,0.712,brighten,0.003,shear,0.012,vertical-flip,0.739,translate-x,0.322,horizontal-flip,0.208,coarse-dropout,0.475,translate-y,0.781,coarse-dropout,0.789,0.14233333333333334,6.800000000000001
75,crop,0.28,crop,0.636,vertical-flip,0.06,translate-y,0.023,coarse-dropout,0.962,shear,0.297,sharpen,0.018,additive-gaussian-noise,0.383,brighten,0.636,fog,0.462,0.1396666666666667,6.533333333333335
36,sharpen,0.812,shear,0.618,crop,0.838,brighten,0.041,sharpen,0.515,shear,0.025,brighten,0.156,emboss,0.32,shear,0.626,gamma-contrast,0.602,0.13833333333333334,6.4
93,emboss,0.966,brighten,0.563,coarse-dropout,0.424,horizontal-flip,0.069,shear,0.992,sharpen,0.115,horizontal-flip,0.226,vertical-flip,0.29,dropout,0.659,brighten,0.455,0.13733333333333334,6.3
56,coarse-dropout,0.733,translate-x,0.973,translate-y,0.131,shear,0.001,coarse-dropout,0.835,vertical-flip,0.156,shear,0.225,rotate,0.365,gaussian-blur,0.689,emboss,0.996,0.13733333333333334,6.3
114,horizontal-flip,0.545,sharpen,0.469,vertical-flip,0.287,fog,0.059,shear,0.986,clouds,0.309,rotate,0.197,vertical-flip,0.309,coarse-salt-pepper,0.364,translate-x,0.078,0.137,6.2666666666666675
277,dropout,0.002,clouds,0.955,translate-y,0.224,translate-y,0.096,vertical-flip,0.087,crop,0.378,shear,0.201,vertical-flip,0.025,rotate,0.89,brighten,0.57,0.137,6.2666666666666675
204,clouds,0.956,shear,0.263,gamma-contrast,0.816,coarse-salt-pepper,0.032,gamma-contrast,0.485,gaussian-blur,0.007,horizontal-flip,0.062,horizontal-flip,0.394,horizontal-flip,0.707,emboss,0.081,0.13633333333333333,6.2
94,emboss,0.31,dropout,0.9,coarse-dropout,0.653,vertical-flip,0.092,dropout,0.982,shear,0.645,sharpen,0.12,translate-x,0.063,vertical-flip,0.451,gaussian-blur,0.479,0.13533333333333333,6.1
253,emboss,0.257,rotate,0.12,horizontal-flip,0.419,brighten,0.079,horizontal-flip,0.959,shear,0.645,add-to-hue-and-saturation,0.182,rotate,0.11,sharpen,0.155,add-to-hue-and-saturation,0.452,0.13466666666666668,6.033333333333335
188,horizontal-flip,0.758,sharpen,0.76,additive-gaussian-noise,0.154,clouds,0.834,sharpen,0.519,invert,0.778,translate-y,0.074,sharpen,0.085,gamma-contrast,0.405,gamma-contrast,0.671,0.13433333333333333,6.0
98,emboss,0.414,translate-x,0.914,sharpen,0.579,additive-gaussian-noise,0.048,additive-gaussian-noise,0.996,vertical-flip,0.409,translate-x,0.188,translate-x,0.117,additive-gaussian-noise,0.652,vertical-flip,0.054,0.134,5.966666666666668
28,coarse-salt-pepper,0.723,gaussian-blur,0.781,invert,0.11,crop,0.4,coarse-dropout,0.637,shear,0.152,translate-x,0.001,crop,0.355,horizontal-flip,0.21,gamma-contrast,0.655,0.134,5.966666666666668
199,crop,0.581,sharpen,0.53,rotate,0.321,shear,0.072,shear,0.999,brighten,0.454,sharpen,0.064,brighten,0.71,emboss,0.243,gamma-contrast,0.327,0.13366666666666668,5.933333333333335
77,additive-gaussian-noise,0.67,shear,0.611,coarse-dropout,0.077,translate-x,0.008,gaussian-blur,0.971,brighten,0.233,translate-x,0.204,dropout,0.351,coarse-dropout,0.461,coarse-dropout,0.516,0.132,5.7666666666666675
96,vertical-flip,0.849,translate-x,0.14,coarse-dropout,0.146,rotate,0.065,clouds,1.0,horizontal-flip,0.464,shear,0.196,clouds,0.08,emboss,0.49,shear,0.013,0.132,5.7666666666666675
131,coarse-dropout,0.939,gaussian-blur,0.433,gamma-contrast,0.86,brighten,0.004,translate-x,0.845,sharpen,0.132,gaussian-blur,0.062,translate-x,0.32,gaussian-blur,0.863,dropout,0.727,0.131,5.666666666666667
40,translate-y,0.697,crop,0.87,coarse-dropout,0.004,fog,0.007,horizontal-flip,0.867,additive-gaussian-noise,0.29,coarse-dropout,0.123,dropout,0.205,clouds,0.573,gamma-contrast,0.816,0.13066666666666668,5.633333333333335
120,coarse-salt-pepper,0.44,crop,0.033,additive-gaussian-noise,0.612,shear,0.101,clouds,0.992,additive-gaussian-noise,0.083,coarse-salt-pepper,0.012,vertical-flip,0.965,coarse-dropout,0.581,shear,0.757,0.13066666666666668,5.633333333333335
207,shear,0.548,gamma-contrast,0.622,crop,0.541,invert,0.016,sharpen,0.998,translate-x,0.259,additive-gaussian-noise,0.104,sharpen,0.635,horizontal-flip,0.625,additive-gaussian-noise,0.048,0.13033333333333333,5.6
