trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
45,horizontal-flip,0.894,crop,0.163,translate-y,0.91,RandomEracing,0.042,invert,0.937,invert,0.484,RandomEracing,0.079,RandomEracing,0.001,emboss,0.015,RandomEracing,0.246,0.5176666666666666,6.366666666666659
114,add-to-hue-and-saturation,0.486,sharpen,0.509,horizontal-flip,0.165,gaussian-blur,0.081,horizontal-flip,0.875,sharpen,0.534,coarse-dropout,0.844,RandomEracing,0.033,RandomEracing,0.34,RandomEracing,0.461,0.5113333333333333,5.733333333333329
109,RandomEracing,0.665,additive-gaussian-noise,0.035,emboss,0.866,translate-x,0.873,brighten,0.542,gamma-contrast,0.793,brighten,0.854,RandomEracing,0.034,sharpen,0.009,RandomEracing,0.621,0.5046666666666666,5.066666666666658
162,brighten,0.989,add-to-hue-and-saturation,0.6,brighten,0.019,crop,0.124,brighten,0.335,gamma-contrast,0.554,sharpen,0.095,translate-y,0.04,RandomEracing,0.219,RandomEracing,0.76,0.49933333333333335,4.533333333333333
143,rotate,0.225,vertical-flip,0.013,dropout,0.089,vertical-flip,0.032,horizontal-flip,0.799,invert,0.527,brighten,0.463,emboss,0.833,gamma-contrast,0.651,RandomEracing,0.373,0.49733333333333335,4.333333333333334
22,brighten,0.661,translate-y,0.672,horizontal-flip,0.39,brighten,0.97,horizontal-flip,0.935,RandomEracing,0.632,vertical-flip,0.6,coarse-salt-pepper,0.074,rotate,0.063,RandomEracing,0.189,0.49700000000000005,4.300000000000004
54,gamma-contrast,0.752,brighten,0.522,horizontal-flip,0.991,coarse-dropout,0.102,crop,0.916,crop,0.231,horizontal-flip,0.307,dropout,0.066,translate-y,0.043,translate-x,0.342,0.494,3.9999999999999982
120,sharpen,0.851,translate-y,0.296,brighten,0.653,coarse-dropout,0.883,clouds,0.447,gamma-contrast,0.498,horizontal-flip,0.207,RandomEracing,0.969,coarse-salt-pepper,0.097,RandomEracing,0.489,0.49333333333333335,3.933333333333333
160,coarse-dropout,0.593,dropout,0.472,vertical-flip,0.057,invert,0.125,emboss,0.741,crop,0.48,horizontal-flip,0.955,dropout,0.066,brighten,0.57,RandomEracing,0.808,0.48933333333333334,3.5333333333333328
130,brighten,0.939,coarse-dropout,0.989,RandomEracing,0.983,rotate,0.326,vertical-flip,0.155,gamma-contrast,0.793,emboss,0.152,RandomEracing,0.362,clouds,0.005,RandomEracing,0.538,0.48900000000000005,3.500000000000003
131,RandomEracing,0.947,gamma-contrast,0.912,shear,0.196,fog,0.131,translate-y,0.291,sharpen,0.745,additive-gaussian-noise,0.168,RandomEracing,0.04,horizontal-flip,0.175,RandomEracing,0.968,0.48866666666666664,3.4666666666666623
141,brighten,0.865,invert,0.844,horizontal-flip,0.366,invert,0.061,gaussian-blur,0.83,translate-x,0.515,emboss,0.138,clouds,0.79,vertical-flip,0.254,RandomEracing,0.265,0.488,3.3999999999999977
103,rotate,0.784,rotate,0.99,add-to-hue-and-saturation,0.381,invert,0.998,add-to-hue-and-saturation,0.749,emboss,0.66,gamma-contrast,0.439,RandomEracing,0.161,gaussian-blur,0.035,RandomEracing,0.132,0.48733333333333334,3.3333333333333326
163,coarse-dropout,0.45,emboss,0.193,rotate,0.158,invert,0.035,vertical-flip,0.236,gaussian-blur,0.49,shear,0.296,brighten,0.916,sharpen,0.98,RandomEracing,0.872,0.48733333333333334,3.3333333333333326
119,RandomEracing,0.735,emboss,0.975,translate-x,0.855,invert,0.681,RandomEracing,0.252,gamma-contrast,0.878,vertical-flip,0.059,RandomEracing,0.023,invert,0.655,RandomEracing,0.444,0.48699999999999993,3.299999999999992
58,coarse-salt-pepper,0.725,fog,0.136,RandomEracing,0.956,rotate,0.046,crop,0.207,clouds,0.536,translate-y,0.178,RandomEracing,0.072,emboss,0.078,gaussian-blur,0.297,0.486,3.1999999999999975
157,add-to-hue-and-saturation,0.028,fog,0.451,brighten,0.001,invert,0.061,translate-y,0.059,RandomEracing,0.492,brighten,0.984,horizontal-flip,0.473,gaussian-blur,0.602,RandomEracing,0.656,0.48533333333333334,3.1333333333333324
158,RandomEracing,0.671,emboss,0.078,gaussian-blur,0.391,invert,0.168,dropout,0.525,gamma-contrast,0.761,brighten,0.084,horizontal-flip,0.024,vertical-flip,0.211,RandomEracing,0.891,0.48500000000000004,3.1000000000000028
154,shear,0.918,coarse-salt-pepper,0.142,brighten,0.083,shear,0.072,horizontal-flip,0.99,gamma-contrast,0.751,invert,0.565,translate-y,0.944,brighten,0.661,RandomEracing,0.116,0.4843333333333333,3.033333333333327
255,horizontal-flip,0.612,horizontal-flip,0.925,translate-y,0.015,add-to-hue-and-saturation,0.726,vertical-flip,0.884,sharpen,0.518,brighten,0.945,translate-x,0.088,RandomEracing,0.663,RandomEracing,0.525,0.4836666666666667,2.9666666666666677
