trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
151,add-to-hue-and-saturation,0.445,additive-gaussian-noise,0.008,gamma-contrast,0.884,vertical-flip,0.875,additive-gaussian-noise,0.007,shear,0.204,brighten,0.058,brighten,0.85,shear,0.054,brighten,0.035,0.145,5.166666666666667
158,clouds,0.763,rotate,0.005,gamma-contrast,0.904,vertical-flip,0.903,clouds,0.813,crop,0.425,horizontal-flip,0.369,brighten,0.705,shear,0.109,brighten,0.06,0.14400000000000002,5.066666666666669
186,coarse-dropout,0.696,rotate,0.014,sharpen,0.018,vertical-flip,0.694,coarse-dropout,0.967,fog,0.48,dropout,0.338,brighten,0.428,horizontal-flip,0.493,rotate,0.043,0.14100000000000001,4.766666666666669
137,additive-gaussian-noise,0.687,translate-y,0.074,gamma-contrast,0.972,vertical-flip,0.695,shear,0.068,gaussian-blur,0.029,fog,0.29,brighten,0.553,vertical-flip,0.046,emboss,0.127,0.139,4.566666666666669
103,additive-gaussian-noise,0.374,translate-x,0.092,rotate,0.973,invert,0.971,gamma-contrast,0.711,brighten,0.041,rotate,0.228,brighten,0.98,dropout,0.396,crop,0.336,0.1386666666666667,4.533333333333337
275,emboss,0.504,coarse-salt-pepper,0.238,gamma-contrast,0.96,sharpen,0.026,brighten,0.552,horizontal-flip,0.082,translate-y,0.624,crop,0.918,crop,0.04,brighten,0.426,0.1376666666666667,4.433333333333336
79,coarse-dropout,0.436,crop,0.089,sharpen,0.973,crop,0.993,horizontal-flip,0.137,gaussian-blur,0.021,dropout,0.591,brighten,0.293,brighten,0.969,add-to-hue-and-saturation,0.328,0.1366666666666667,4.333333333333337
125,horizontal-flip,0.402,rotate,0.013,gamma-contrast,0.999,rotate,0.728,translate-y,0.014,brighten,0.083,shear,0.463,brighten,0.364,invert,0.32,invert,0.598,0.1366666666666667,4.333333333333337
42,coarse-salt-pepper,0.319,crop,0.572,horizontal-flip,0.953,horizontal-flip,0.943,gamma-contrast,0.477,coarse-salt-pepper,0.28,add-to-hue-and-saturation,0.889,clouds,0.786,coarse-salt-pepper,0.498,brighten,0.777,0.136,4.266666666666668
67,coarse-salt-pepper,0.45,gaussian-blur,0.125,gamma-contrast,0.958,rotate,0.95,coarse-salt-pepper,0.007,coarse-salt-pepper,0.232,additive-gaussian-noise,0.183,brighten,0.54,coarse-dropout,0.377,fog,0.958,0.13566666666666669,4.233333333333336
121,sharpen,0.508,emboss,0.576,gamma-contrast,0.827,emboss,0.998,rotate,0.568,horizontal-flip,0.137,vertical-flip,0.047,brighten,0.006,coarse-dropout,0.435,add-to-hue-and-saturation,0.97,0.135,4.166666666666669
174,gamma-contrast,0.666,vertical-flip,0.159,add-to-hue-and-saturation,0.773,gaussian-blur,0.939,clouds,0.032,brighten,0.038,brighten,0.596,translate-x,0.021,rotate,0.553,horizontal-flip,0.096,0.13466666666666668,4.133333333333336
249,emboss,0.486,crop,0.37,gamma-contrast,0.936,sharpen,0.754,gaussian-blur,0.005,shear,0.09,additive-gaussian-noise,0.356,horizontal-flip,0.873,shear,0.082,coarse-dropout,0.711,0.133,3.9666666666666686
254,crop,0.687,translate-x,0.295,gamma-contrast,0.946,translate-y,0.052,additive-gaussian-noise,0.513,emboss,0.045,shear,0.334,additive-gaussian-noise,0.054,dropout,0.328,emboss,0.067,0.133,3.9666666666666686
60,fog,0.75,sharpen,0.094,horizontal-flip,0.912,horizontal-flip,0.943,coarse-salt-pepper,0.166,coarse-salt-pepper,0.05,fog,0.4,rotate,0.418,vertical-flip,0.526,rotate,0.84,0.13266666666666668,3.933333333333336
185,brighten,0.371,rotate,0.035,translate-y,0.281,coarse-dropout,0.964,coarse-salt-pepper,0.67,fog,0.02,gaussian-blur,0.507,coarse-salt-pepper,0.261,additive-gaussian-noise,0.401,translate-y,0.074,0.13266666666666668,3.933333333333336
173,invert,0.782,invert,0.2,gamma-contrast,0.93,sharpen,0.041,emboss,0.293,coarse-salt-pepper,0.253,coarse-dropout,0.15,translate-x,0.244,brighten,0.36,shear,0.047,0.13266666666666668,3.933333333333336
262,coarse-salt-pepper,0.678,translate-x,0.17,gamma-contrast,0.994,gaussian-blur,0.031,crop,0.026,crop,0.071,fog,0.128,dropout,0.091,dropout,0.169,horizontal-flip,0.421,0.13266666666666668,3.933333333333336
118,shear,0.446,dropout,0.209,gamma-contrast,0.944,horizontal-flip,0.885,translate-x,0.022,horizontal-flip,0.15,coarse-salt-pepper,0.84,brighten,0.085,rotate,0.219,gaussian-blur,0.137,0.132,3.866666666666668
37,vertical-flip,0.83,sharpen,0.091,gamma-contrast,0.962,horizontal-flip,0.941,horizontal-flip,0.093,translate-x,0.24,crop,0.19,additive-gaussian-noise,0.514,coarse-salt-pepper,0.234,additive-gaussian-noise,0.053,0.13166666666666668,3.8333333333333357
